snapshot_utc,snapshot_park_datetime,snapshot_park_date,park_id,canonical_attraction_id,canonical_attraction_name,canonical_category,access_mode,selected_ride_id,selected_ride_name,is_open,observed_wait_time_minutes,optimizer_wait_weight_minutes,source_age_minutes,source_last_updated_utc,source_last_updated_park_datetime,training_eligibility,quality_flags,resolver_reason,candidate_count
2026-07-08T14:30:38.926Z,2026-07-08 07:30:38,2026-07-08,dca,dca-animation-academy,Animation Academy,attraction,standby,321,Animation Academy,FALSE,,,5.0,2026-07-08T14:25:39.000Z,2026-07-08 07:25:39,status_model_only,closed|possible_full_day_closed,single_candidate,1
2026-07-08T14:30:38.926Z,2026-07-08 07:30:38,2026-07-08,dca,dca-games-of-pixar-pier,Games of Pixar Pier,attraction,standby,866,Games of Pixar Pier,FALSE,,,5.0,2026-07-08T14:25:39.000Z,2026-07-08 07:25:39,status_model_only,closed,single_candidate,1
2026-07-08T14:30:38.926Z,2026-07-08 07:30:38,2026-07-08,dca,dca-golden-zephyr,Golden Zephyr,attraction,standby,298,Golden Zephyr,FALSE,,,5.0,2026-07-08T14:25:39.000Z,2026-07-08 07:25:39,status_model_only,closed|temporary_downtime,single_candidate,1
2026-07-08T14:30:38.926Z,2026-07-08 07:30:38,2026-07-08,dca,dca-goofy-s-sky-school,Goofy's Sky School,attraction,standby,319,Goofy's Sky School,FALSE,,,5.0,2026-07-08T14:25:39.000Z,2026-07-08 07:25:39,status_model_only,closed|temporary_downtime,single_candidate,1
2026-07-08T14:30:38.926Z,2026-07-08 07:30:38,2026-07-08,dca,dca-grizzly-river-run,Grizzly River Run,attraction,standby,302,Grizzly River Run,FALSE,,,5.0,2026-07-08T14:25:39.000Z,2026-07-08 07:25:39,status_model_only,closed|temporary_downtime,single_candidate,1
2026-07-08T14:30:38.926Z,2026-07-08 07:30:38,2026-07-08,dca,dca-guardians-of-the-galaxy-mission-breakout,Guardians of the Galaxy - Mission: BREAKOUT!,attraction,standby,329,Guardians of the Galaxy - Mission: BREAKOUT!,FALSE,,,5.0,2026-07-08T14:25:39.000Z,2026-07-08 07:25:39,status_model_only,closed|temporary_downtime,single_candidate,1
2026-07-08T14:30:38.926Z,2026-07-08 07:30:38,2026-07-08,dca,dca-incredicoaster,Incredicoaster,attraction,single_rider,10906,Incredicoaster Single Rider,FALSE,,,5.0,2026-07-08T14:25:39.000Z,2026-07-08 07:25:39,single_rider_availability_only,closed|single_rider|temporary_downtime|single_rider_all_zero,single_candidate,1
2026-07-08T14:30:38.926Z,2026-07-08 07:30:38,2026-07-08,dca,dca-incredicoaster,Incredicoaster,attraction,standby,322,Incredicoaster,FALSE,,,5.0,2026-07-08T14:25:39.000Z,2026-07-08 07:25:39,status_model_only,closed|temporary_downtime,single_candidate,1
2026-07-08T14:30:38.926Z,2026-07-08 07:30:38,2026-07-08,dca,dca-inside-out-emotional-whirlwind,Inside Out Emotional Whirlwind,attraction,standby,6643,Inside Out Emotional Whirlwind,FALSE,,,5.0,2026-07-08T14:25:39.000Z,2026-07-08 07:25:39,status_model_only,closed|temporary_downtime,single_candidate,1
2026-07-08T14:30:38.926Z,2026-07-08 07:30:38,2026-07-08,dca,dca-jessie-s-critter-carousel,Jessie's Critter Carousel,attraction,standby,310,Jessie's Critter Carousel,FALSE,,,5.0,2026-07-08T14:25:39.000Z,2026-07-08 07:25:39,status_model_only,closed|temporary_downtime,single_candidate,1
2026-07-08T14:30:38.926Z,2026-07-08 07:30:38,2026-07-08,dca,dca-jumpin-jellyfish,Jumpin' Jellyfish,attraction,standby,300,Jumpin' Jellyfish,FALSE,,,5.0,2026-07-08T14:25:39.000Z,2026-07-08 07:25:39,status_model_only,closed,single_candidate,1
2026-07-08T14:30:38.926Z,2026-07-08 07:30:38,2026-07-08,dca,dca-luigi-s-rollickin-roadsters,Luigi's Rollickin' Roadsters,attraction,standby,13961,Luigi's Rollickin' Roadsters,FALSE,,,5.0,2026-07-08T14:25:39.000Z,2026-07-08 07:25:39,status_model_only,closed|temporary_downtime,single_candidate,1
2026-07-08T14:30:38.926Z,2026-07-08 07:30:38,2026-07-08,dca,dca-mater-s-junkyard-jamboree,Mater's Junkyard Jamboree,attraction,standby,315,Mater's Junkyard Jamboree,FALSE,,,5.0,2026-07-08T14:25:39.000Z,2026-07-08 07:25:39,status_model_only,closed,single_candidate,1
2026-07-08T14:30:38.926Z,2026-07-08 07:30:38,2026-07-08,dca,dca-mickey-s-philharmagic,Mickey's PhilharMagic,attraction,standby,6440,Mickey's PhilharMagic,TRUE,0,0,5.0,2026-07-08T14:25:39.000Z,2026-07-08 07:25:39,standby_wait_model,open_zero,single_candidate,1
2026-07-08T14:30:38.926Z,2026-07-08 07:30:38,2026-07-08,dca,dca-monsters-inc-mike-and-sulley-to-the-rescue,"Monsters, Inc. Mike & Sulley to the Rescue!",attraction,standby,291,"Monsters, Inc. Mike & Sulley to the Rescue!",FALSE,,,5.0,2026-07-08T14:25:39.000Z,2026-07-08 07:25:39,status_model_only,closed,single_candidate,1
2026-07-08T14:30:38.926Z,2026-07-08 07:30:38,2026-07-08,dca,dca-pixar-pal-a-round-non-swinging,Pixar Pal-A-Round – Non-Swinging,attraction,standby,5557,Pixar Pal-A-Round – Non-Swinging,FALSE,,,5.0,2026-07-08T14:25:39.000Z,2026-07-08 07:25:39,status_model_only,closed|temporary_downtime,single_candidate,1
2026-07-08T14:30:38.926Z,2026-07-08 07:30:38,2026-07-08,dca,dca-pixar-pal-a-round-swinging,Pixar Pal-A-Round - Swinging,attraction,standby,311,Pixar Pal-A-Round - Swinging,FALSE,,,5.0,2026-07-08T14:25:39.000Z,2026-07-08 07:25:39,status_model_only,closed|temporary_downtime,single_candidate,1
2026-07-08T14:30:38.926Z,2026-07-08 07:30:38,2026-07-08,dca,dca-radiator-springs-racers,Radiator Springs Racers,attraction,single_rider,10904,Radiator Springs Racers Single Rider,FALSE,,,5.0,2026-07-08T14:25:39.000Z,2026-07-08 07:25:39,single_rider_availability_only,closed|single_rider|temporary_downtime|single_rider_all_zero,single_candidate,1
2026-07-08T14:30:38.926Z,2026-07-08 07:30:38,2026-07-08,dca,dca-radiator-springs-racers,Radiator Springs Racers,attraction,standby,295,Radiator Springs Racers,FALSE,,,5.0,2026-07-08T14:25:39.000Z,2026-07-08 07:25:39,status_model_only,closed|temporary_downtime,single_candidate,1
2026-07-08T14:30:38.926Z,2026-07-08 07:30:38,2026-07-08,dca,dca-redwood-creek-challenge-trail,Redwood Creek Challenge Trail,attraction,standby,293,Redwood Creek Challenge Trail,FALSE,,,5.0,2026-07-08T14:25:39.000Z,2026-07-08 07:25:39,status_model_only,closed|temporary_downtime,single_candidate,1
2026-07-08T14:30:38.926Z,2026-07-08 07:30:38,2026-07-08,dca,dca-silly-symphony-swings,Silly Symphony Swings,attraction,standby,301,Silly Symphony Swings,FALSE,,,5.0,2026-07-08T14:25:39.000Z,2026-07-08 07:25:39,status_model_only,closed|possible_full_day_closed,single_candidate,1
