snapshot_utc,snapshot_park_datetime,snapshot_park_date,snapshot_timezone,park_id,park_name,land,ride_id,ride_name,is_open,wait_time_minutes,source_last_updated_utc,source_last_updated_park_datetime,source_url,normalized_ride_name,base_ride_name,canonical_attraction_id,canonical_attraction_name,canonical_category,canonical_match_source,access_mode,is_single_rider,is_likely_entertainment,source_age_minutes,observed_wait_time_minutes,quality_flags,training_eligibility
2026-07-08T14:30:38.926Z,2026-07-08 07:30:38,2026-07-08,America/Los_Angeles,disneyland,Disneyland,Adventureland,12428,Adventureland Treehouse inspired by Walt Disney’s Swiss Family Robinson,FALSE,0,2026-07-08T14:25:33.000Z,2026-07-08 07:25:33,https://queue-times.com/parks/16/queue_times.json,adventureland treehouse inspired by walt disney's swiss family robinson,Adventureland Treehouse inspired by Walt Disney’s Swiss Family Robinson,disneyland-adventureland-treehouse-inspired-by-walt-disney-s-swiss-family-robinson,Adventureland Treehouse inspired by Walt Disney’s Swiss Family Robinson,attraction,auto_normalized,standby,FALSE,FALSE,5.1,,closed|temporary_downtime,status_model_only
2026-07-08T14:30:38.926Z,2026-07-08 07:30:38,2026-07-08,America/Los_Angeles,disneyland,Disneyland,Adventureland,326,Indiana Jones™ Adventure,FALSE,0,2026-07-08T14:25:33.000Z,2026-07-08 07:25:33,https://queue-times.com/parks/16/queue_times.json,indiana jones adventure,Indiana Jones™ Adventure,disneyland-indiana-jones-adventure,Indiana Jones™ Adventure,attraction,auto_normalized,standby,FALSE,FALSE,5.1,,closed|temporary_downtime,status_model_only
2026-07-08T14:30:38.926Z,2026-07-08 07:30:38,2026-07-08,America/Los_Angeles,disneyland,Disneyland,Adventureland,296,Jungle Cruise,FALSE,0,2026-07-08T14:30:34.000Z,2026-07-08 07:30:34,https://queue-times.com/parks/16/queue_times.json,jungle cruise,Jungle Cruise,disneyland-jungle-cruise,Jungle Cruise,attraction,auto_normalized,standby,FALSE,FALSE,0.1,,closed,status_model_only
2026-07-08T14:30:38.926Z,2026-07-08 07:30:38,2026-07-08,America/Los_Angeles,disneyland,Disneyland,Adventureland,288,Walt Disney's Enchanted Tiki Room,FALSE,0,2026-07-08T14:25:33.000Z,2026-07-08 07:25:33,https://queue-times.com/parks/16/queue_times.json,walt disney's enchanted tiki room,Walt Disney's Enchanted Tiki Room,disneyland-walt-disney-s-enchanted-tiki-room,Walt Disney's Enchanted Tiki Room,attraction,auto_normalized,standby,FALSE,FALSE,5.1,,closed,status_model_only
2026-07-08T14:30:38.926Z,2026-07-08 07:30:38,2026-07-08,America/Los_Angeles,disneyland,Disneyland,Bayou Country,304,Davy Crockett's Explorer Canoes,FALSE,0,2026-07-08T14:30:34.000Z,2026-07-08 07:30:34,https://queue-times.com/parks/16/queue_times.json,davy crockett's explorer canoes,Davy Crockett's Explorer Canoes,disneyland-davy-crockett-s-explorer-canoes,Davy Crockett's Explorer Canoes,attraction,auto_normalized,standby,FALSE,FALSE,0.1,,closed|possible_full_day_closed,status_model_only
2026-07-08T14:30:38.926Z,2026-07-08 07:30:38,2026-07-08,America/Los_Angeles,disneyland,Disneyland,Bayou Country,306,The Many Adventures of Winnie the Pooh,FALSE,0,2026-07-08T14:25:33.000Z,2026-07-08 07:25:33,https://queue-times.com/parks/16/queue_times.json,the many adventures of winnie the pooh,The Many Adventures of Winnie the Pooh,disneyland-the-many-adventures-of-winnie-the-pooh,The Many Adventures of Winnie the Pooh,attraction,auto_normalized,standby,FALSE,FALSE,5.1,,closed|temporary_downtime,status_model_only
2026-07-08T14:30:38.926Z,2026-07-08 07:30:38,2026-07-08,America/Los_Angeles,disneyland,Disneyland,Bayou Country,14168,Tiana's Bayou Adventure,FALSE,0,2026-07-08T14:25:33.000Z,2026-07-08 07:25:33,https://queue-times.com/parks/16/queue_times.json,tiana's bayou adventure,Tiana's Bayou Adventure,disneyland-tiana-s-bayou-adventure,Tiana's Bayou Adventure,attraction,auto_normalized,standby,FALSE,FALSE,5.1,,closed,status_model_only
2026-07-08T14:30:38.926Z,2026-07-08 07:30:38,2026-07-08,America/Los_Angeles,disneyland,Disneyland,Bayou Country,14326,Tiana's Bayou Adventure Single Rider,FALSE,0,2026-07-08T14:25:33.000Z,2026-07-08 07:25:33,https://queue-times.com/parks/16/queue_times.json,tiana's bayou adventure single rider,Tiana's Bayou Adventure,disneyland-tiana-s-bayou-adventure,Tiana's Bayou Adventure,attraction,auto_normalized,single_rider,TRUE,FALSE,5.1,,closed|single_rider|single_rider_all_zero,single_rider_availability_only
2026-07-08T14:30:38.926Z,2026-07-08 07:30:38,2026-07-08,America/Los_Angeles,disneyland,Disneyland,Fantasyland,307,"""it's a small world""",FALSE,0,2026-07-08T14:25:33.000Z,2026-07-08 07:25:33,https://queue-times.com/parks/16/queue_times.json,it's a small world,"""it's a small world""",disneyland-it-s-a-small-world,"""it's a small world""",attraction,auto_normalized,standby,FALSE,FALSE,5.1,,closed,status_model_only
2026-07-08T14:30:38.926Z,2026-07-08 07:30:38,2026-07-08,America/Los_Angeles,disneyland,Disneyland,Fantasyland,285,Alice in Wonderland,FALSE,0,2026-07-08T14:25:33.000Z,2026-07-08 07:25:33,https://queue-times.com/parks/16/queue_times.json,alice in wonderland,Alice in Wonderland,disneyland-alice-in-wonderland,Alice in Wonderland,attraction,auto_normalized,standby,FALSE,FALSE,5.1,,closed|temporary_downtime,status_model_only
