snapshot_utc,snapshot_park_datetime,snapshot_park_date,snapshot_timezone,park_id,park_name,land,ride_id,ride_name,is_open,wait_time_minutes,source_last_updated_utc,source_last_updated_park_datetime,source_url,normalized_ride_name,base_ride_name,is_single_rider,is_likely_entertainment,source_age_minutes,observed_wait_time_minutes,quality_flags,training_eligibility
2026-07-07T22:19:18.747Z,2026-07-07 15:19:18,2026-07-07,America/Los_Angeles,disneyland,Disneyland,Adventureland,12428,Adventureland Treehouse inspired by Walt Disney’s Swiss Family Robinson,TRUE,0,2026-07-07T22:15:35.000Z,2026-07-07 15:15:35,https://queue-times.com/parks/16/queue_times.json,adventureland treehouse inspired by walt disney's swiss family robinson,Adventureland Treehouse inspired by Walt Disney’s Swiss Family Robinson,FALSE,FALSE,3.7,0,open_zero,standby_wait_model
2026-07-07T22:19:18.747Z,2026-07-07 15:19:18,2026-07-07,America/Los_Angeles,disneyland,Disneyland,Adventureland,326,Indiana Jones™ Adventure,TRUE,45,2026-07-07T22:15:35.000Z,2026-07-07 15:15:35,https://queue-times.com/parks/16/queue_times.json,indiana jones adventure,Indiana Jones™ Adventure,FALSE,FALSE,3.7,45,temporary_downtime,standby_wait_model
2026-07-07T22:19:18.747Z,2026-07-07 15:19:18,2026-07-07,America/Los_Angeles,disneyland,Disneyland,Adventureland,296,Jungle Cruise,TRUE,25,2026-07-07T22:15:35.000Z,2026-07-07 15:15:35,https://queue-times.com/parks/16/queue_times.json,jungle cruise,Jungle Cruise,FALSE,FALSE,3.7,25,,standby_wait_model
2026-07-07T22:19:18.747Z,2026-07-07 15:19:18,2026-07-07,America/Los_Angeles,disneyland,Disneyland,Adventureland,288,Walt Disney's Enchanted Tiki Room,TRUE,0,2026-07-07T22:15:35.000Z,2026-07-07 15:15:35,https://queue-times.com/parks/16/queue_times.json,walt disney's enchanted tiki room,Walt Disney's Enchanted Tiki Room,FALSE,FALSE,3.7,0,open_zero,standby_wait_model
2026-07-07T22:19:18.747Z,2026-07-07 15:19:18,2026-07-07,America/Los_Angeles,disneyland,Disneyland,Bayou Country,304,Davy Crockett's Explorer Canoes,FALSE,0,2026-07-07T22:15:35.000Z,2026-07-07 15:15:35,https://queue-times.com/parks/16/queue_times.json,davy crockett's explorer canoes,Davy Crockett's Explorer Canoes,FALSE,FALSE,3.7,,closed|possible_full_day_closed,status_model_only
2026-07-07T22:19:18.747Z,2026-07-07 15:19:18,2026-07-07,America/Los_Angeles,disneyland,Disneyland,Bayou Country,306,The Many Adventures of Winnie the Pooh,TRUE,20,2026-07-07T22:15:35.000Z,2026-07-07 15:15:35,https://queue-times.com/parks/16/queue_times.json,the many adventures of winnie the pooh,The Many Adventures of Winnie the Pooh,FALSE,FALSE,3.7,20,,standby_wait_model
2026-07-07T22:19:18.747Z,2026-07-07 15:19:18,2026-07-07,America/Los_Angeles,disneyland,Disneyland,Bayou Country,14168,Tiana's Bayou Adventure,TRUE,55,2026-07-07T22:15:35.000Z,2026-07-07 15:15:35,https://queue-times.com/parks/16/queue_times.json,tiana's bayou adventure,Tiana's Bayou Adventure,FALSE,FALSE,3.7,55,,standby_wait_model
2026-07-07T22:19:18.747Z,2026-07-07 15:19:18,2026-07-07,America/Los_Angeles,disneyland,Disneyland,Bayou Country,14326,Tiana's Bayou Adventure Single Rider,TRUE,0,2026-07-07T22:15:35.000Z,2026-07-07 15:15:35,https://queue-times.com/parks/16/queue_times.json,tiana's bayou adventure,Tiana's Bayou Adventure,TRUE,FALSE,3.7,0,open_zero|single_rider|single_rider_all_zero,single_rider_availability_only
2026-07-07T22:19:18.747Z,2026-07-07 15:19:18,2026-07-07,America/Los_Angeles,disneyland,Disneyland,Fantasyland,307,"""it's a small world""",TRUE,5,2026-07-07T22:15:35.000Z,2026-07-07 15:15:35,https://queue-times.com/parks/16/queue_times.json,it's a small world,"""it's a small world""",FALSE,FALSE,3.7,5,temporary_downtime,standby_wait_model
2026-07-07T22:19:18.747Z,2026-07-07 15:19:18,2026-07-07,America/Los_Angeles,disneyland,Disneyland,Fantasyland,285,Alice in Wonderland,TRUE,20,2026-07-07T22:15:35.000Z,2026-07-07 15:15:35,https://queue-times.com/parks/16/queue_times.json,alice in wonderland,Alice in Wonderland,FALSE,FALSE,3.7,20,temporary_downtime,standby_wait_model
